open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682899200000,0.4708,0.4720,0.4702,0.4717,585626,1682900099999,275956.7970,1555,275998,130059.2919,0
1682900100000,0.4718,0.4726,0.4709,0.4722,224961,1682900999999,106111.6851,679,111328,52515.2978,0
1682901000000,0.4722,0.4732,0.4719,0.4731,315497,1682901899999,149075.1769,921,115769,54716.1668,0
1682901900000,0.4730,0.4734,0.4719,0.4725,226393,1682902799999,107005.9732,767,123591,58404.0532,0
1682902800000,0.4725,0.4730,0.4716,0.4722,290744,1682903699999,137330.5333,1115,128741,60804.0937,0
1682903700000,0.4723,0.4732,0.4721,0.4724,262828,1682904599999,124191.3037,867,149349,70568.2084,0
1682904600000,0.4725,0.4726,0.4613,0.4625,3083872,1682905499999,1434129.0178,5996,1445777,672620.1606,0
1682905500000,0.4624,0.4642,0.4600,0.4629,1739845,1682906399999,803958.4949,3812,778641,359838.7352,0
1682906400000,0.4628,0.4713,0.4619,0.4690,2637862,1682907299999,1233108.3126,5770,1430873,668603.4900,0
1682907300000,0.4689,0.4690,0.4612,0.4617,3509813,1682908199999,1630015.5538,6274,1507289,700273.5579,0
1682908200000,0.4617,0.4628,0.4611,0.4616,1146957,1682909099999,529932.4505,2670,490846,226818.9026,0
1682909100000,0.4616,0.4621,0.4612,0.4620,423546,1682909999999,195567.8911,993,176945,81702.4582,0
1682910000000,0.4619,0.4624,0.4614,0.4615,583458,1682910899999,269544.3041,1501,211375,97659.7943,0
1682910900000,0.4615,0.4630,0.4600,0.4630,706520,1682911799999,325907.0261,1598,306379,141379.1882,0
1682911800000,0.4629,0.4630,0.4622,0.4625,333405,1682912699999,154225.0644,1021,124166,57438.4551,0
1682912700000,0.4625,0.4627,0.4618,0.4621,284440,1682913599999,131451.8977,800,124040,57326.8064,0
1682913600000,0.4621,0.4621,0.4614,0.4616,392248,1682914499999,181133.3749,1242,178625,82494.9574,0
1682914500000,0.4616,0.4635,0.4616,0.4634,446153,1682915399999,206314.3546,994,280598,129768.2498,0
1682915400000,0.4633,0.4642,0.4631,0.4636,624236,1682916299999,289428.3823,1466,277934,128881.2284,0
1682916300000,0.4637,0.4642,0.4634,0.4637,184827,1682917199999,85733.8058,605,76247,35369.0756,0
1682917200000,0.4637,0.4641,0.4632,0.4634,394372,1682918099999,182872.6313,1055,243300,112819.5621,0
1682918100000,0.4634,0.4635,0.4624,0.4625,579152,1682918999999,268215.3375,780,334887,155105.5539,0
1682919000000,0.4624,0.4624,0.4571,0.4607,1435762,1682919899999,660316.1932,3058,579917,266781.6204,0
1682919900000,0.4608,0.4617,0.4598,0.4616,490516,1682920799999,225940.4509,1212,262066,120707.6973,0
1682920800000,0.4615,0.4624,0.4613,0.4615,428631,1682921699999,197923.2769,1011,211178,97513.2862,0
1682921700000,0.4615,0.4625,0.4611,0.4623,255109,1682922599999,117745.2158,622,178155,82228.7194,0
1682922600000,0.4624,0.4632,0.4621,0.4628,267381,1682923499999,123708.2556,776,149358,69112.5339,0
1682923500000,0.4628,0.4632,0.4625,0.4630,200776,1682924399999,92912.1253,587,114493,52981.1163,0
1682924400000,0.4629,0.4645,0.4623,0.4634,388641,1682925299999,180151.9742,989,182540,84594.9826,0
1682925300000,0.4634,0.4637,0.4630,0.4631,202437,1682926199999,93785.4914,493,126830,58761.4018,0
1682926200000,0.4632,0.4636,0.4626,0.4633,307845,1682927099999,142577.9464,864,177249,82091.8519,0
1682927100000,0.4634,0.4640,0.4634,0.4637,205765,1682927999999,95422.0626,506,122450,56787.2614,0
1682928000000,0.4637,0.4640,0.4628,0.4634,224297,1682928899999,103974.6814,858,121644,56389.2199,0
1682928900000,0.4634,0.4640,0.4629,0.4639,270698,1682929799999,125461.0044,657,165826,76859.0268,0
1682929800000,0.4638,0.4639,0.4631,0.4638,221945,1682930699999,102879.6487,658,131727,61058.3623,0
1682930700000,0.4638,0.4644,0.4628,0.4643,377489,1682931599999,174939.2538,724,171530,79495.0833,0
1682931600000,0.4644,0.4655,0.4644,0.4655,392734,1682932499999,182599.7982,1057,175335,81529.4199,0
1682932500000,0.4654,0.4657,0.4650,0.4651,189207,1682933399999,88040.8922,610,86589,40292.4026,0
1682933400000,0.4651,0.4656,0.4638,0.4638,389790,1682934299999,181179.4672,1056,174896,81314.5237,0
1682934300000,0.4638,0.4642,0.4635,0.4637,157069,1682935199999,72865.3549,528,75187,34882.8020,0
1682935200000,0.4636,0.4638,0.4633,0.4635,224187,1682936099999,103927.7541,1005,114151,52921.6417,0
1682936100000,0.4635,0.4647,0.4628,0.4632,396236,1682936999999,183733.7680,854,191764,88893.7048,0
1682937000000,0.4632,0.4635,0.4625,0.4632,258995,1682937899999,119888.1099,695,150597,69714.7771,0
1682937900000,0.4633,0.4634,0.4622,0.4623,169669,1682938799999,78489.5528,530,99175,45878.3848,0
1682938800000,0.4622,0.4628,0.4610,0.4610,442430,1682939699999,204368.4308,1283,192426,88891.0641,0
1682939700000,0.4611,0.4621,0.4603,0.4621,502296,1682940599999,231567.1417,1076,304964,140613.2614,0
1682940600000,0.4620,0.4626,0.4617,0.4624,262617,1682941499999,121349.6734,858,148714,68725.4980,0
1682941500000,0.4625,0.4627,0.4616,0.4616,270593,1682942399999,125070.7472,636,100256,46331.7241,0
1682942400000,0.4616,0.4630,0.4611,0.4626,375654,1682943299999,173503.4084,1219,208148,96148.3590,0
1682943300000,0.4626,0.4637,0.4624,0.4634,348710,1682944199999,161406.8192,835,160670,74373.5413,0
1682944200000,0.4635,0.4641,0.4630,0.4632,319704,1682945099999,148167.5062,774,191411,88713.7617,0
1682945100000,0.4632,0.4635,0.4630,0.4633,205965,1682945999999,95422.2428,584,102811,47636.6290,0
1682946000000,0.4633,0.4636,0.4627,0.4634,315233,1682946899999,145989.1298,994,166490,77107.9250,0
1682946900000,0.4634,0.4634,0.4626,0.4631,264528,1682947799999,122452.3467,675,162686,75313.0462,0
1682947800000,0.4631,0.4644,0.4619,0.4620,497433,1682948699999,230381.7570,1266,248486,115058.7895,0
1682948700000,0.4621,0.4631,0.4600,0.4606,566133,1682949599999,261372.7750,1264,251426,116103.2229,0
1682949600000,0.4606,0.4629,0.4580,0.4605,1187529,1682950499999,546969.2777,2615,533895,245897.3069,0
1682950500000,0.4604,0.4624,0.4584,0.4602,755637,1682951399999,347555.0341,1750,382898,176045.2377,0
1682951400000,0.4601,0.4604,0.4590,0.4593,373081,1682952299999,171529.2206,836,148672,68347.2109,0
1682952300000,0.4592,0.4599,0.4587,0.4598,225342,1682953199999,103495.7854,654,120826,55491.6471,0
1682953200000,0.4597,0.4599,0.4570,0.4575,583794,1682954099999,267559.0013,1423,270277,123905.2966,0
1682954100000,0.4573,0.4579,0.4543,0.4548,1781860,1682954999999,812291.8047,3671,711033,324182.5811,0
1682955000000,0.4548,0.4568,0.4543,0.4559,893226,1682955899999,407157.4609,2101,408866,186391.8213,0
1682955900000,0.4558,0.4568,0.4556,0.4561,387385,1682956799999,176745.6395,944,208620,95185.1472,0
1682956800000,0.4560,0.4570,0.4510,0.4517,1698747,1682957699999,770676.3219,3099,668766,303634.7724,0
1682957700000,0.4517,0.4532,0.4501,0.4517,1217999,1682958599999,550072.9860,2521,575021,259743.2820,0
1682958600000,0.4517,0.4536,0.4517,0.4534,421051,1682959499999,190603.3070,1467,225794,102225.2962,0
1682959500000,0.4535,0.4564,0.4534,0.4561,526723,1682960399999,239754.6794,1372,300737,136910.1588,0
1682960400000,0.4562,0.4569,0.4554,0.4558,563704,1682961299999,257090.8784,1380,240096,109509.2126,0
1682961300000,0.4557,0.4560,0.4538,0.4539,270874,1682962199999,123301.8282,958,153077,69668.2924,0
1682962200000,0.4540,0.4567,0.4538,0.4561,364179,1682963099999,165776.9788,1344,229090,104262.1837,0
1682963100000,0.4562,0.4570,0.4562,0.4569,202622,1682963999999,92529.3676,740,118016,53897.4953,0
1682964000000,0.4568,0.4570,0.4560,0.4565,318235,1682964899999,145301.6189,1172,187052,85405.1575,0
1682964900000,0.4564,0.4564,0.4553,0.4558,292577,1682965799999,133350.1560,746,167603,76389.6020,0
1682965800000,0.4558,0.4561,0.4533,0.4537,457580,1682966699999,208060.4935,1715,195534,88915.1893,0
1682966700000,0.4538,0.4542,0.4531,0.4533,338389,1682967599999,153483.7858,1324,189397,85906.5526,0
1682967600000,0.4532,0.4534,0.4505,0.4510,597496,1682968499999,270044.7883,2032,290441,131273.7467,0
1682968500000,0.4510,0.4515,0.4443,0.4513,2508547,1682969399999,1124563.7602,5616,1058690,474524.7666,0
1682969400000,0.4512,0.4515,0.4483,0.4491,887379,1682970299999,399309.3708,2385,394873,177694.3096,0
1682970300000,0.4492,0.4497,0.4477,0.4486,1558265,1682971199999,698970.9096,2521,983126,440946.2947,0
1682971200000,0.4484,0.4514,0.4482,0.4505,577931,1682972099999,260108.8682,1866,304694,137103.7969,0
1682972100000,0.4505,0.4511,0.4483,0.4499,566066,1682972999999,254517.3511,1668,299952,134857.9960,0
1682973000000,0.4498,0.4508,0.4495,0.4505,259582,1682973899999,116898.2558,1089,142319,64085.5119,0
1682973900000,0.4504,0.4506,0.4468,0.4474,802382,1682974799999,359498.3630,2113,321920,144238.0980,0
1682974800000,0.4474,0.4498,0.4470,0.4493,344092,1682975699999,154446.1742,1270,173565,77903.3930,0
1682975700000,0.4493,0.4509,0.4493,0.4507,167346,1682976599999,75330.4634,669,88480,39825.0253,0
1682976600000,0.4507,0.4529,0.4507,0.4518,440825,1682977499999,199197.3393,1344,213167,96314.9993,0
1682977500000,0.4518,0.4521,0.4515,0.4520,153649,1682978399999,69423.2174,717,90344,40821.3253,0
1682978400000,0.4520,0.4521,0.4510,0.4518,322217,1682979299999,145513.1736,1220,185964,83980.0654,0
1682979300000,0.4519,0.4528,0.4518,0.4524,353925,1682980199999,160060.9110,902,176479,79818.1117,0
1682980200000,0.4524,0.4543,0.4515,0.4531,401251,1682981099999,181629.4679,1209,207629,93992.7977,0
1682981100000,0.4530,0.4534,0.4526,0.4532,201263,1682981999999,91170.7684,658,113288,51317.9105,0
1682982000000,0.4532,0.4550,0.4526,0.4545,650704,1682982899999,295426.8154,1604,370781,168327.4175,0
1682982900000,0.4544,0.4550,0.4539,0.4539,353505,1682983799999,160668.9000,1158,195101,88673.3560,0
1682983800000,0.4539,0.4547,0.4537,0.4542,251879,1682984699999,114393.8116,830,146400,66487.1744,0
1682984700000,0.4541,0.4545,0.4539,0.4541,128031,1682985599999,58148.6818,575,48235,21908.4404,0
1682985600000,0.4540,0.4541,0.4520,0.4524,294052,1682986499999,133196.0336,1252,147406,66768.0328,0
1682986500000,0.4525,0.4548,0.4523,0.4547,243086,1682987399999,110123.7627,963,162300,73531.2424,0
1682987400000,0.4548,0.4553,0.4542,0.4553,409585,1682988299999,186263.3583,1260,215343,97932.5460,0
1682988300000,0.4551,0.4552,0.4535,0.4536,122784,1682989199999,55799.7971,564,53749,24423.9548,0
1682989200000,0.4535,0.4540,0.4527,0.4534,221918,1682990099999,100609.1175,908,93804,42529.0742,0
1682990100000,0.4534,0.4539,0.4531,0.4535,234525,1682990999999,106364.0622,850,95864,43477.7544,0
1682991000000,0.4534,0.4543,0.4530,0.4543,224907,1682991899999,102014.3461,1035,112799,51166.9618,0
1682991900000,0.4542,0.4548,0.4505,0.4523,813704,1682992799999,368173.1515,1837,362093,163861.9883,0
1682992800000,0.4524,0.4525,0.4516,0.4525,298918,1682993699999,135109.6612,1202,155709,70381.1628,0
1682993700000,0.4525,0.4538,0.4519,0.4521,249428,1682994599999,112947.1880,662,109302,49493.3979,0
1682994600000,0.4521,0.4536,0.4521,0.4533,241583,1682995499999,109407.0375,824,121845,55170.7758,0
1682995500000,0.4533,0.4539,0.4532,0.4534,150086,1682996399999,68073.9883,415,59419,26949.2091,0
